G141 grating,
Wavelength,Transmission
,
1.0588,3.35E-02
1.0589,3.37E-02
1.0590,3.39E-02
1.0591,3.40E-02
1.0592,3.42E-02
1.0593,3.44E-02
1.0594,3.45E-02
1.0595,3.47E-02
1.0596,3.49E-02
1.0597,3.50E-02
1.0598,3.52E-02
1.0599,3.54E-02
1.0600,3.55E-02
1.0601,3.57E-02
1.0602,3.59E-02
1.0603,3.60E-02
1.0604,3.62E-02
1.0605,3.64E-02
1.0606,3.65E-02
1.0607,3.67E-02
1.0608,3.69E-02
1.0609,3.71E-02
1.0610,3.72E-02
1.0611,3.74E-02
1.0612,3.76E-02
1.0613,3.77E-02
1.0614,3.79E-02
1.0615,3.81E-02
1.0616,3.83E-02
1.0617,3.85E-02
1.0618,3.86E-02
1.0619,3.88E-02
1.0620,3.90E-02
1.0621,3.92E-02
1.0622,3.94E-02
1.0623,3.96E-02
1.0624,3.97E-02
1.0625,3.99E-02
1.0626,4.01E-02
1.0627,4.03E-02
1.0628,4.05E-02
1.0629,4.07E-02
1.0630,4.09E-02
1.0631,4.11E-02
1.0632,4.12E-02
1.0633,4.14E-02
1.0634,4.16E-02
1.0635,4.18E-02
1.0636,4.20E-02
1.0637,4.22E-02
1.0638,4.24E-02
1.0639,4.26E-02
1.0640,4.28E-02
1.0641,4.30E-02
1.0642,4.32E-02
1.0643,4.33E-02
1.0644,4.35E-02
1.0645,4.37E-02
1.0646,4.39E-02
1.0647,4.41E-02
1.0648,4.43E-02
1.0649,4.45E-02
1.0650,4.47E-02
1.0651,4.49E-02
1.0652,4.51E-02
1.0653,4.53E-02
1.0654,4.55E-02
1.0655,4.57E-02
1.0656,4.59E-02
1.0657,4.61E-02
1.0658,4.63E-02
1.0659,4.66E-02
1.0660,4.68E-02
1.0661,4.71E-02
1.0662,4.74E-02
1.0663,4.76E-02
1.0664,4.79E-02
1.0665,4.82E-02
1.0666,4.85E-02
1.0667,4.87E-02
1.0668,4.90E-02
1.0669,4.93E-02
1.0670,4.96E-02
1.0671,4.99E-02
1.0672,5.02E-02
1.0673,5.05E-02
1.0674,5.08E-02
1.0675,5.11E-02
1.0676,5.14E-02
1.0677,5.17E-02
1.0678,5.20E-02
1.0679,5.23E-02
1.0680,5.26E-02
1.0681,5.30E-02
1.0682,5.33E-02
1.0683,5.36E-02
1.0684,5.39E-02
1.0685,5.43E-02
1.0686,5.46E-02
1.0687,5.50E-02
1.0688,5.53E-02
1.0689,5.56E-02
1.0690,5.60E-02
1.0691,5.63E-02
1.0692,5.67E-02
1.0693,5.70E-02
1.0694,5.74E-02
1.0695,5.78E-02
1.0696,5.81E-02
1.0697,5.85E-02
1.0698,5.89E-02
1.0699,5.92E-02
1.0700,5.96E-02
1.0701,6.00E-02
1.0702,6.04E-02
1.0703,6.07E-02
1.0704,6.11E-02
1.0705,6.16E-02
1.0706,6.20E-02
1.0707,6.25E-02
1.0708,6.29E-02
1.0709,6.34E-02
1.0710,6.39E-02
1.0711,6.44E-02
1.0712,6.49E-02
1.0713,6.54E-02
1.0714,6.59E-02
1.0715,6.64E-02
1.0716,6.69E-02
1.0717,6.74E-02
1.0718,6.79E-02
1.0719,6.85E-02
1.0720,6.90E-02
1.0721,6.95E-02
1.0722,7.01E-02
1.0723,7.06E-02
1.0724,7.12E-02
1.0725,7.18E-02
1.0726,7.23E-02
1.0727,7.29E-02
1.0728,7.35E-02
1.0729,7.41E-02
1.0730,7.47E-02
1.0731,7.53E-02
1.0732,7.59E-02
1.0733,7.65E-02
1.0734,7.71E-02
1.0735,7.77E-02
1.0736,7.83E-02
1.0737,7.90E-02
1.0738,7.96E-02
1.0739,8.02E-02
1.0740,8.09E-02
1.0741,8.15E-02
1.0742,8.22E-02
1.0743,8.28E-02
1.0744,8.35E-02
1.0745,8.42E-02
1.0746,8.49E-02
1.0747,8.56E-02
1.0748,8.62E-02
1.0749,8.69E-02
1.0750,8.76E-02
