# wl, Throughput, emissivity
2.9200,0.8309,0.0000
2.9250,0.8315,0.0000
2.9300,0.8320,0.0000
2.9350,0.8325,0.0000
2.9400,0.8330,0.0000
2.9450,0.8335,0.0000
2.9500,0.8341,0.0000
2.9550,0.8346,0.0000
2.9600,0.8351,0.0000
2.9650,0.8356,0.0000
2.9700,0.8361,0.0000
2.9750,0.8366,0.0000
2.9800,0.8371,0.0000
2.9850,0.8376,0.0000
2.9900,0.8381,0.0000
2.9950,0.8386,0.0000
3.0000,0.8391,0.0000
3.0050,0.8396,0.0000
3.0100,0.8400,0.0000
3.0150,0.8405,0.0000
3.0200,0.8410,0.0000
3.0250,0.8415,0.0000
3.0300,0.8420,0.0000
3.0350,0.8425,0.0000
3.0400,0.8429,0.0000
3.0450,0.8434,0.0000
3.0500,0.8439,0.0000
3.0550,0.8443,0.0000
3.0600,0.8448,0.0000
3.0650,0.8453,0.0000
3.0700,0.8457,0.0000
3.0750,0.8462,0.0000
3.0800,0.8467,0.0000
3.0850,0.8471,0.0000
3.0900,0.8476,0.0000
3.0950,0.8480,0.0000
3.1000,0.8485,0.0000
3.1050,0.8489,0.0000
3.1100,0.8494,0.0000
3.1150,0.8498,0.0000
3.1200,0.8503,0.0000
3.1250,0.8507,0.0000
3.1300,0.8511,0.0000
3.1350,0.8516,0.0000
3.1400,0.8520,0.0000
3.1450,0.8524,0.0000
3.1500,0.8529,0.0000
3.1550,0.8533,0.0000
3.1600,0.8537,0.0000
3.1650,0.8542,0.0000
3.1700,0.8546,0.0000
3.1750,0.8550,0.0000
3.1800,0.8554,0.0000
3.1850,0.8558,0.0000
3.1900,0.8563,0.0000
3.1950,0.8567,0.0000
3.2000,0.8571,0.0000
3.2050,0.8575,0.0000
3.2100,0.8579,0.0000
3.2150,0.8583,0.0000
3.2200,0.8587,0.0000
3.2250,0.8591,0.0000
3.2300,0.8595,0.0000
3.2350,0.8599,0.0000
3.2400,0.8603,0.0000
3.2450,0.8607,0.0000
3.2500,0.8611,0.0000
3.2550,0.8615,0.0000
3.2600,0.8619,0.0000
3.2650,0.8623,0.0000
3.2700,0.8627,0.0000
3.2750,0.8631,0.0000
3.2800,0.8635,0.0000
3.2850,0.8639,0.0000
3.2900,0.8643,0.0000
3.2950,0.8646,0.0000
3.3000,0.8650,0.0000
3.3050,0.8654,0.0000
3.3100,0.8658,0.0000
3.3150,0.8661,0.0000
3.3200,0.8665,0.0000
3.3250,0.8669,0.0000
3.3300,0.8673,0.0000
3.3350,0.8676,0.0000
3.3400,0.8680,0.0000
3.3450,0.8684,0.0000
3.3500,0.8687,0.0000
3.3550,0.8691,0.0000
3.3600,0.8695,0.0000
3.3650,0.8698,0.0000
3.3700,0.8702,0.0000
3.3750,0.8705,0.0000
3.3800,0.8709,0.0000
3.3850,0.8713,0.0000
3.3900,0.8716,0.0000
3.3950,0.8720,0.0000
3.4000,0.8723,0.0000
3.4050,0.8727,0.0000
3.4100,0.8730,0.0000
3.4150,0.8734,0.0000
3.4200,0.8737,0.0000
3.4250,0.8741,0.0000
3.4300,0.8744,0.0000
3.4350,0.8747,0.0000
3.4400,0.8751,0.0000
3.4450,0.8754,0.0000
3.4500,0.8758,0.0000
3.4550,0.8761,0.0000
3.4600,0.8764,0.0000
3.4650,0.8768,0.0000
3.4700,0.8771,0.0000
3.4750,0.8774,0.0000
3.4800,0.8777,0.0000
3.4850,0.8781,0.0000
3.4900,0.8784,0.0000
3.4950,0.8787,0.0000
3.5000,0.8791,0.0000
3.5050,0.8794,0.0000
3.5100,0.8797,0.0000
3.5150,0.8800,0.0000
3.5200,0.8803,0.0000
3.5250,0.8807,0.0000
3.5300,0.8810,0.0000
3.5350,0.8813,0.0000
3.5400,0.8816,0.0000
3.5450,0.8819,0.0000
3.5500,0.8822,0.0000
3.5550,0.8825,0.0000
