# lambda [um], beta [deg], x [micron]
1.620000e+00,1.624496e-03,5.103504e+00
1.625000e+00,1.170839e-03,3.678300e+00
1.630000e+00,7.157847e-04,2.248704e+00
1.635000e+00,2.593322e-04,8.147160e-01
1.640000e+00,-1.985184e-04,-6.236640e-01
1.645000e+00,-6.577670e-04,-2.066436e+00
1.650000e+00,-1.118414e-03,-3.513600e+00
1.655000e+00,-1.580458e-03,-4.965156e+00
1.660000e+00,-2.043901e-03,-6.421104e+00
1.665000e+00,-2.508742e-03,-7.881444e+00
1.670000e+00,-2.974980e-03,-9.346176e+00
1.675000e+00,-3.442617e-03,-1.081530e+01
1.680000e+00,-3.911652e-03,-1.228882e+01
1.685000e+00,-4.382084e-03,-1.376672e+01
1.690000e+00,-4.853915e-03,-1.524902e+01
1.695000e+00,-5.327144e-03,-1.673572e+01
1.700000e+00,-5.801771e-03,-1.822680e+01
1.705000e+00,-6.277795e-03,-1.972228e+01
1.710000e+00,-6.755218e-03,-2.122214e+01
1.715000e+00,-7.234039e-03,-2.272640e+01
1.720000e+00,-7.714258e-03,-2.423506e+01
1.725000e+00,-8.195875e-03,-2.574810e+01
1.730000e+00,-8.678890e-03,-2.726554e+01
1.735000e+00,-9.163303e-03,-2.878736e+01
1.740000e+00,-9.649113e-03,-3.031358e+01
1.745000e+00,-1.013632e-02,-3.184420e+01
1.750000e+00,-1.062493e-02,-3.337920e+01
1.755000e+00,-1.111493e-02,-3.491860e+01
1.760000e+00,-1.160634e-02,-3.646238e+01
1.765000e+00,-1.209914e-02,-3.801056e+01
1.770000e+00,-1.259334e-02,-3.956314e+01
1.775000e+00,-1.308893e-02,-4.112010e+01
1.780000e+00,-1.358593e-02,-4.268146e+01
1.785000e+00,-1.408432e-02,-4.424720e+01
1.790000e+00,-1.458411e-02,-4.581734e+01
1.795000e+00,-1.508530e-02,-4.739188e+01
1.800000e+00,-1.558789e-02,-4.897080e+01
1.805000e+00,-1.609187e-02,-5.055412e+01
1.810000e+00,-1.659726e-02,-5.214183e+01
1.815000e+00,-1.710404e-02,-5.373393e+01
1.820000e+00,-1.761222e-02,-5.533042e+01
1.825000e+00,-1.812180e-02,-5.693130e+01
1.830000e+00,-1.863277e-02,-5.853658e+01
1.835000e+00,-1.914514e-02,-6.014625e+01
1.840000e+00,-1.965892e-02,-6.176031e+01
1.845000e+00,-2.017408e-02,-6.337876e+01
1.850000e+00,-2.069065e-02,-6.500160e+01
1.855000e+00,-2.120862e-02,-6.662884e+01
1.860000e+00,-2.172798e-02,-6.826047e+01
1.865000e+00,-2.224874e-02,-6.989649e+01
1.870000e+00,-2.277090e-02,-7.153690e+01
1.875000e+00,-2.329446e-02,-7.318170e+01
1.880000e+00,-2.381941e-02,-7.483090e+01
1.885000e+00,-2.434577e-02,-7.648449e+01
1.890000e+00,-2.487352e-02,-7.814247e+01
1.895000e+00,-2.540267e-02,-7.980484e+01
1.900000e+00,-2.593322e-02,-8.147161e+01
1.905000e+00,-2.646516e-02,-8.314276e+01
1.910000e+00,-2.699850e-02,-8.481831e+01
1.915000e+00,-2.753325e-02,-8.649825e+01
1.920000e+00,-2.806939e-02,-8.818258e+01
1.925000e+00,-2.860692e-02,-8.987131e+01
1.930000e+00,-2.914586e-02,-9.156442e+01
1.935000e+00,-2.968619e-02,-9.326193e+01
1.940000e+00,-3.022792e-02,-9.496383e+01
1.945000e+00,-3.077105e-02,-9.667013e+01
1.950000e+00,-3.131558e-02,-9.838081e+01
1.955000e+00,-3.186151e-02,-1.000959e+02
1.960000e+00,-3.240883e-02,-1.018154e+02
1.965000e+00,-3.295755e-02,-1.035392e+02
1.970000e+00,-3.350767e-02,-1.052675e+02
1.975000e+00,-3.405919e-02,-1.070001e+02
1.980000e+00,-3.461211e-02,-1.087371e+02
1.985000e+00,-3.516642e-02,-1.104786e+02
1.990000e+00,-3.572213e-02,-1.122244e+02
1.995000e+00,-3.627924e-02,-1.139746e+02
2.000000e+00,-3.683775e-02,-1.157292e+02
2.005000e+00,-3.739765e-02,-1.174882e+02
2.010000e+00,-3.795896e-02,-1.192516e+02
2.015000e+00,-3.852166e-02,-1.210194e+02
2.020000e+00,-3.908576e-02,-1.227916e+02
2.025000e+00,-3.965126e-02,-1.245681e+02
2.030000e+00,-4.021815e-02,-1.263491e+02
2.035000e+00,-4.078645e-02,-1.281344e+02
2.040000e+00,-4.135614e-02,-1.299242e+02
2.045000e+00,-4.192723e-02,-1.317183e+02
2.050000e+00,-4.249972e-02,-1.335168e+02
2.055000e+00,-4.307360e-02,-1.353197e+02
