# wl, TX, emissivity
2.88,0.90,0.03
2.89,0.90,0.03
2.89,0.90,0.03
2.90,0.90,0.03
2.90,0.90,0.03
2.91,0.90,0.03
2.91,0.90,0.03
2.92,0.90,0.03
2.92,0.90,0.03
2.93,0.90,0.03
2.93,0.90,0.03
2.94,0.90,0.03
2.94,0.90,0.03
2.95,0.90,0.03
2.95,0.90,0.03
2.96,0.90,0.03
2.96,0.90,0.03
2.97,0.90,0.03
2.97,0.90,0.03
2.98,0.90,0.03
2.98,0.90,0.03
2.99,0.90,0.03
2.99,0.90,0.03
3.00,0.90,0.03
3.00,0.90,0.03
3.01,0.90,0.03
3.01,0.90,0.03
3.02,0.90,0.03
3.02,0.90,0.03
3.03,0.90,0.03
3.03,0.90,0.03
3.04,0.90,0.03
3.04,0.90,0.03
3.05,0.90,0.03
3.05,0.90,0.03
3.06,0.90,0.03
3.06,0.90,0.03
3.07,0.90,0.03
3.07,0.90,0.03
3.08,0.90,0.03
3.08,0.90,0.03
3.09,0.90,0.03
3.09,0.90,0.03
3.10,0.90,0.03
3.10,0.90,0.03
3.11,0.90,0.03
3.11,0.90,0.03
3.12,0.90,0.03
3.12,0.90,0.03
3.13,0.90,0.03
3.13,0.90,0.03
3.14,0.90,0.03
3.14,0.90,0.03
3.15,0.90,0.03
3.15,0.90,0.03
3.16,0.90,0.03
3.16,0.90,0.03
3.17,0.90,0.03
3.17,0.90,0.03
3.18,0.90,0.03
3.18,0.90,0.03
3.19,0.90,0.03
3.19,0.90,0.03
3.20,0.90,0.03
3.20,0.90,0.03
3.21,0.90,0.03
3.21,0.90,0.03
3.22,0.90,0.03
3.22,0.90,0.03
3.23,0.90,0.03
3.23,0.90,0.03
3.24,0.90,0.03
3.24,0.90,0.03
3.25,0.90,0.03
3.25,0.90,0.03
3.26,0.90,0.03
3.26,0.90,0.03
3.27,0.90,0.03
3.27,0.90,0.03
3.28,0.90,0.03
3.28,0.90,0.03
3.29,0.90,0.03
3.29,0.90,0.03
3.30,0.90,0.03
3.30,0.90,0.03
3.31,0.90,0.03
3.31,0.90,0.03
3.32,0.90,0.03
3.32,0.90,0.03
3.33,0.90,0.03
3.33,0.90,0.03
3.34,0.90,0.03
3.34,0.90,0.03
3.35,0.90,0.03
3.35,0.90,0.03
3.36,0.90,0.03
3.36,0.90,0.03
3.37,0.90,0.03
3.37,0.90,0.03
3.38,0.90,0.03
3.38,0.90,0.03
3.39,0.90,0.03
3.39,0.90,0.03
3.40,0.90,0.03
3.40,0.90,0.03
3.41,0.90,0.03
3.41,0.90,0.03
3.42,0.90,0.03
3.42,0.90,0.03
3.43,0.90,0.03
3.43,0.90,0.03
3.44,0.90,0.03
3.44,0.90,0.03
3.45,0.90,0.03
3.45,0.90,0.03
3.46,0.90,0.03
3.46,0.90,0.03
3.47,0.90,0.03
3.47,0.90,0.03
3.48,0.90,0.03
3.48,0.90,0.03
3.49,0.90,0.03
3.49,0.90,0.03
3.50,0.90,0.03
3.50,0.90,0.03
3.51,0.90,0.03
3.51,0.90,0.03
3.52,0.90,0.03
3.52,0.90,0.03
3.53,0.90,0.03
3.53,0.90,0.03
3.54,0.90,0.03
3.54,0.90,0.03
3.55,0.90,0.03
3.55,0.90,0.03
3.56,0.90,0.03
3.56,0.90,0.03
3.57,0.90,0.03
3.57,0.90,0.03
3.58,0.90,0.03
3.58,0.90,0.03
3.59,0.90,0.03
3.59,0.90,0.03
3.60,0.90,0.03
3.60,0.90,0.03
3.61,0.90,0.03
3.61,0.90,0.03
3.62,0.90,0.03
3.62,0.90,0.03
3.63,0.90,0.03
3.63,0.90,0.03
3.64,0.90,0.03
3.64,0.90,0.03
3.65,0.90,0.03
3.65,0.90,0.03
3.66,0.90,0.03
3.66,0.90,0.03
3.67,0.90,0.03
3.67,0.90,0.03
3.68,0.90,0.03
3.68,0.90,0.03
3.69,0.90,0.03
3.69,0.90,0.03
3.70,0.90,0.03
3.70,0.90,0.03
3.71,0.90,0.03
3.71,0.90,0.03
3.72,0.90,0.03
3.72,0.90,0.03
3.73,0.90,0.03
3.73,0.90,0.03
3.74,0.90,0.03
3.74,0.90,0.03
3.75,0.90,0.03
3.75,0.90,0.03
3.76,0.90,0.03
3.76,0.90,0.03
3.77,0.90,0.03
3.77,0.90,0.03
3.78,0.90,0.03
3.78,0.90,0.03
3.79,0.90,0.03
3.79,0.90,0.03
3.80,0.90,0.03
3.80,0.90,0.03
3.81,0.90,0.03
3.81,0.90,0.03
3.82,0.90,0.03
3.82,0.90,0.03
3.83,0.90,0.03
3.83,0.90,0.03
3.84,0.90,0.03
3.84,0.90,0.03
3.85,0.90,0.03
3.85,0.90,0.03
3.86,0.90,0.03
3.86,0.90,0.03
3.87,0.90,0.03
3.87,0.90,0.03
3.88,0.90,0.03
3.88,0.90,0.03
3.89,0.90,0.03
3.89,0.90,0.03
3.90,0.90,0.03
3.90,0.90,0.03
3.91,0.90,0.03
3.91,0.90,0.03
3.92,0.90,0.03
3.92,0.90,0.03
3.93,0.90,0.03
3.93,0.90,0.03
3.94,0.90,0.03
3.94,0.90,0.03
3.95,0.90,0.03
3.95,0.90,0.03
3.96,0.90,0.03
3.96,0.90,0.03
3.97,0.90,0.03
3.97,0.90,0.03
3.98,0.90,0.03
3.98,0.90,0.03
3.99,0.90,0.03
3.99,0.90,0.03
4.00,0.90,0.03
4.00,0.90,0.03
4.01,0.90,0.03
4.01,0.90,0.03
4.02,0.90,0.03
4.02,0.90,0.03
4.03,0.90,0.03
4.03,0.90,0.03
4.04,0.90,0.03
4.04,0.90,0.03
4.05,0.90,0.03
4.05,0.90,0.03
4.06,0.90,0.03
4.06,0.90,0.03
4.07,0.90,0.03
4.07,0.90,0.03
4.08,0.90,0.03
4.08,0.90,0.03
4.09,0.90,0.03
4.09,0.90,0.03
4.10,0.90,0.03
4.10,0.90,0.03
4.11,0.90,0.03
4.11,0.90,0.03
4.12,0.90,0.03
4.12,0.90,0.03
4.13,0.90,0.03
4.13,0.90,0.03
