# lambda [um], beta [deg], x [micron]
2.270000e+00,1.008787e+00,1.003683e+03
2.275000e+00,1.008089e+00,1.002989e+03
2.280000e+00,1.007390e+00,1.002293e+03
2.285000e+00,1.006690e+00,1.001596e+03
2.290000e+00,1.005989e+00,1.000898e+03
2.295000e+00,1.005286e+00,1.000199e+03
2.300000e+00,1.004582e+00,9.994986e+02
2.305000e+00,1.003877e+00,9.987970e+02
2.310000e+00,1.003171e+00,9.980943e+02
2.315000e+00,1.002464e+00,9.973904e+02
2.320000e+00,1.001755e+00,9.966854e+02
2.325000e+00,1.001045e+00,9.959791e+02
2.330000e+00,1.000335e+00,9.952717e+02
2.335000e+00,9.996225e-01,9.945630e+02
2.340000e+00,9.989092e-01,9.938532e+02
2.345000e+00,9.981948e-01,9.931422e+02
2.350000e+00,9.974791e-01,9.924300e+02
2.355000e+00,9.967622e-01,9.917166e+02
2.360000e+00,9.960441e-01,9.910020e+02
2.365000e+00,9.953248e-01,9.902862e+02
2.370000e+00,9.946043e-01,9.895692e+02
2.375000e+00,9.938826e-01,9.888510e+02
2.380000e+00,9.931596e-01,9.881316e+02
2.385000e+00,9.924355e-01,9.874110e+02
2.390000e+00,9.917101e-01,9.866891e+02
2.395000e+00,9.909835e-01,9.859660e+02
2.400000e+00,9.902557e-01,9.852418e+02
2.405000e+00,9.895266e-01,9.845162e+02
2.410000e+00,9.887963e-01,9.837895e+02
2.415000e+00,9.880648e-01,9.830616e+02
2.420000e+00,9.873321e-01,9.823324e+02
2.425000e+00,9.865981e-01,9.816020e+02
2.430000e+00,9.858629e-01,9.808703e+02
2.435000e+00,9.851264e-01,9.801374e+02
2.440000e+00,9.843887e-01,9.794033e+02
2.445000e+00,9.836497e-01,9.786679e+02
2.450000e+00,9.829095e-01,9.779313e+02
2.455000e+00,9.821681e-01,9.771935e+02
2.460000e+00,9.814253e-01,9.764544e+02
2.465000e+00,9.806814e-01,9.757141e+02
2.470000e+00,9.799362e-01,9.749725e+02
2.475000e+00,9.791897e-01,9.742296e+02
2.480000e+00,9.784420e-01,9.734856e+02
2.485000e+00,9.776930e-01,9.727402e+02
2.490000e+00,9.769427e-01,9.719936e+02
2.495000e+00,9.761912e-01,9.712457e+02
2.500000e+00,9.754384e-01,9.704966e+02
2.505000e+00,9.746843e-01,9.697462e+02
2.510000e+00,9.739290e-01,9.689946e+02
2.515000e+00,9.731724e-01,9.682416e+02
2.520000e+00,9.724145e-01,9.674875e+02
2.525000e+00,9.716553e-01,9.667320e+02
2.530000e+00,9.708949e-01,9.659753e+02
2.535000e+00,9.701332e-01,9.652172e+02
2.540000e+00,9.693701e-01,9.644580e+02
2.545000e+00,9.686059e-01,9.636974e+02
2.550000e+00,9.678403e-01,9.629356e+02
